model_label,condition,accuracy,trigger_precision,trigger_recall,false_activation_rate,unsupported_commitment_rate,authorized_commitment_coverage,unnecessary_retrieval_rate,evidence_override_rate,abstention_rate,retrospective_detection_rate,mean_generated_tokens,mean_wall_time_ms,mean_retrieval_time_ms
Qwen3-0.6B,no_retrieval,0.28125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.578125,1034.8790671875,0.0
Qwen3-0.6B,upfront_retrieval,0.5625,0.5,1.0,1.0,0.21875,0.78125,1.0,0.75,0.0,0.0,14.5625,2627.9501796875,0.0619265625
Qwen3-0.6B,confidence_only,0.28125,0.6078431372549019,0.96875,0.625,1.0,0.0,0.625,0.0,0.0,0.0,6.578125,1034.8790671875,0.0460875
Qwen3-0.6B,temporal_only,0.28125,0.4,0.25,0.375,1.0,0.0,0.375,0.0,0.0,0.0,6.578125,1034.8790671875,0.042765625
Qwen3-0.6B,source_only,0.28125,0.2857142857142857,0.25,0.625,1.0,0.0,0.625,0.0,0.0,0.0,6.578125,1034.8790671875,0.0458078125
Qwen3-0.6B,context_sufficiency_only,0.28125,0.5333333333333333,1.0,0.875,1.0,0.0,0.875,0.0,0.0,0.0,6.578125,1034.8790671875,0.0823921875
Qwen3-0.6B,combined_semantic,0.28125,0.8888888888888888,1.0,0.125,1.0,0.0,0.125,0.0,0.0,0.0,6.578125,1034.8790671875,0.0404015625
Qwen3-0.6B,confidence_or_semantic,0.28125,0.5714285714285714,1.0,0.75,1.0,0.0,0.75,0.0,0.0,0.0,6.578125,1034.8790671875,0.0465078125
Qwen3-0.6B,confidence_and_semantic,0.28125,1.0,0.96875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.578125,1034.8790671875,0.02764375
Qwen3-0.6B,retrospective_verification,0.28125,0.8888888888888888,1.0,0.125,1.0,0.0,0.125,0.0,0.0,1.0,6.578125,1034.8790671875,0.0344375
Qwen3-0.6B,evidence_advisory,0.671875,0.8888888888888888,1.0,0.125,0.21875,0.78125,0.125,0.8611111111111112,0.0,0.0,11.25,1994.571509375,0.032659375
Qwen3-0.6B,support_contract,0.359375,0.8888888888888888,1.0,0.125,0.125,0.21875,0.125,0.9722222222222222,0.390625,0.0,9.484375,1804.8096734375,0.0725390625
Qwen3-0.6B,runtime_enforcement,0.75,0.8888888888888888,1.0,0.125,0.0,1.0,0.125,1.0,0.0625,0.0,6.578125,1034.8790671875,0.0713625
Qwen3-0.6B,oracle,0.78125,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.578125,1034.8790671875,0.0362265625
SmolLM2-1.7B,no_retrieval,0.34375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.828125,3772.0480515625,0.0
SmolLM2-1.7B,upfront_retrieval,0.5625,0.5,1.0,1.0,0.125,0.875,1.0,0.828125,0.0,0.0,16.328125,9831.9568703125,0.072334375
SmolLM2-1.7B,confidence_only,0.34375,1.0,0.8125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.828125,3772.0480515625,0.0221203125
SmolLM2-1.7B,temporal_only,0.34375,0.4,0.25,0.375,1.0,0.0,0.375,0.0,0.0,0.0,7.828125,3772.0480515625,0.0362203125
SmolLM2-1.7B,source_only,0.34375,0.2857142857142857,0.25,0.625,1.0,0.0,0.625,0.0,0.0,0.0,7.828125,3772.0480515625,0.043853125
SmolLM2-1.7B,context_sufficiency_only,0.34375,0.5333333333333333,1.0,0.875,1.0,0.0,0.875,0.0,0.0,0.0,7.828125,3772.0480515625,0.0824859375
